"Ano","ID.IBGE","Localidade","ice_emprego","Empregos","Massa.Salarial","Renda.Mensal.Média","Distância.média","Ganho.de.oportunidade.médio","rank"
2020,12,"Acre",-0.872,"133 Mil","R$ 402 Milhões","R$ 3,02 Mil","0,925","0,144",24
2020,13,"Amazonas",0.979,"592 Mil","R$ 1,78 Bilhão","R$ 3,01 Mil","0,802","0,076",7
2020,14,"Roraima",-0.865,"102 Mil","R$ 333 Milhões","R$ 3,27 Mil","0,933","0,136",23
2020,15,"Pará",-0.811,"1,08 Milhão","R$ 2,97 Bilhões","R$ 2,75 Mil","0,827","0,239",22
2020,16,"Amapá",-1.203,"125 Mil","R$ 516 Milhões","R$ 4,14 Mil","0,948","0,128",27
2020,17,"Tocantins",-1.17,"267 Mil","R$ 808 Milhões","R$ 3,03 Mil","0,909","0,178",26
2020,21,"Maranhão",-0.778,"744 Mil","R$ 1,86 Bilhão","R$ 2,51 Mil","0,866","0,198",21
2020,22,"Piauí",-0.878,"436 Mil","R$ 1,11 Bilhão","R$ 2,55 Mil","0,88","0,19",25
2020,23,"Ceará",0.158,"1,44 Milhão","R$ 3,44 Bilhões","R$ 2,39 Mil","0,797","0,172",11
2020,24,"Rio Grande do Norte",-0.615,"568 Mil","R$ 1,48 Bilhão","R$ 2,6 Mil","0,843","0,212",18
2020,25,"Paraíba",-0.733,"629 Mil","R$ 1,47 Bilhão","R$ 2,33 Mil","0,872","0,19",19
2020,26,"Pernambuco",0.398,"1,52 Milhão","R$ 3,83 Bilhões","R$ 2,51 Mil","0,753","0,164",8
2020,27,"Alagoas",-0.61,"481 Mil","R$ 1,12 Bilhão","R$ 2,33 Mil","0,878","0,177",17
2020,28,"Sergipe",-0.517,"366 Mil","R$ 967 Milhões","R$ 2,64 Mil","0,853","0,192",15
2020,29,"Bahia",-0.365,"2,18 Milhões","R$ 5,53 Bilhões","R$ 2,54 Mil","0,762","0,254",14
2020,31,"Minas Gerais",0.21,"4,81 Milhões","R$ 12,5 Bilhões","R$ 2,6 Mil","0,669","0,236",10
2020,32,"Espírito Santo",0.241,"891 Mil","R$ 2,37 Bilhões","R$ 2,66 Mil","0,719","0,211",9
2020,33,"Rio de Janeiro",1.657,"3,77 Milhões","R$ 12,7 Bilhões","R$ 3,37 Mil","0,71","0,012",2
2020,35,"São Paulo",2.444,"13,2 Milhões","R$ 43,7 Bilhões","R$ 3,3 Mil","0,368","-0,274",1
2020,41,"Paraná",1.197,"3,08 Milhões","R$ 8,96 Bilhões","R$ 2,9 Mil","0,583","0,08",5
2020,42,"Santa Catarina",1.611,"2,36 Milhões","R$ 6,7 Bilhões","R$ 2,84 Mil","0,588","-0",3
2020,43,"Rio Grande do Sul",1.337,"2,82 Milhões","R$ 8,5 Bilhões","R$ 3,01 Mil","0,638","0,048",4
2020,50,"Mato Grosso do Sul",-0.289,"654 Mil","R$ 1,88 Bilhão","R$ 2,87 Mil","0,814","0,214",12
2020,51,"Mato Grosso",-0.755,"857 Mil","R$ 2,52 Bilhões","R$ 2,94 Mil","0,837","0,233",20
2020,52,"Goiás",-0.315,"1,48 Milhão","R$ 3,95 Bilhões","R$ 2,66 Mil","0,743","0,267",13
2020,53,"Distrito Federal",1.07,"1,24 Milhão","R$ 6,5 Bilhões","R$ 5,25 Mil","0,939","0,069",6
2021,11,"Rondônia",-0.297,"312 Mil","R$ 858 Milhões","R$ 2,75 Mil","0,809","0,217",13
2021,12,"Acre",-1.335,"142 Mil","R$ 652 Milhões","R$ 4,58 Mil","0,96","0,122",27
2021,13,"Amazonas",1.053,"653 Mil","R$ 2,02 Bilhões","R$ 3,1 Mil","0,809","0,073",6
2021,14,"Roraima",-0.842,"111 Mil","R$ 386 Milhões","R$ 3,47 Mil","0,933","0,14",24
2021,15,"Pará",-0.776,"1,17 Milhão","R$ 3,48 Bilhões","R$ 2,98 Mil","0,815","0,251",21
2021,16,"Amapá",-1.102,"126 Mil","R$ 527 Milhões","R$ 4,19 Mil","0,941","0,138",25
2021,17,"Tocantins",-1.145,"296 Mil","R$ 933 Milhões","R$ 3,15 Mil","0,895","0,195",26
2021,21,"Maranhão",-0.789,"819 Mil","R$ 2,24 Bilhões","R$ 2,73 Mil","0,867","0,199",22
2021,22,"Piauí",-0.792,"460 Mil","R$ 1,2 Bilhão","R$ 2,61 Mil","0,866","0,204",23
2021,23,"Ceará",0.119,"1,53 Milhão","R$ 3,56 Bilhões","R$ 2,33 Mil","0,743","0,207",11
2021,24,"Rio Grande do Norte",-0.594,"615 Mil","R$ 1,7 Bilhão","R$ 2,76 Mil","0,834","0,222",18
2021,25,"Paraíba",-0.585,"676 Mil","R$ 1,76 Bilhão","R$ 2,6 Mil","0,871","0,185",17
2021,26,"Pernambuco",0.123,"1,66 Milhão","R$ 4,56 Bilhões","R$ 2,74 Mil","0,749","0,201",10
2021,27,"Alagoas",-0.613,"523 Mil","R$ 1,32 Bilhão","R$ 2,52 Mil","0,87","0,19",19
2021,28,"Sergipe",-0.558,"392 Mil","R$ 1,08 Bilhão","R$ 2,75 Mil","0,858","0,199",16
2021,29,"Bahia",-0.383,"2,35 Milhões","R$ 6,36 Bilhões","R$ 2,7 Mil","0,749","0,267",14
2021,31,"Minas Gerais",0.381,"5,15 Milhões","R$ 14,9 Bilhões","R$ 2,89 Mil","0,682","0,209",9
2021,32,"Espírito Santo",0.47,"941 Mil","R$ 2,67 Bilhões","R$ 2,84 Mil","0,714","0,191",8
2021,33,"Rio de Janeiro",1.39,"3,94 Milhões","R$ 14,9 Bilhões","R$ 3,79 Mil","0,722","0,053",4
2021,35,"São Paulo",2.511,"13,8 Milhões","R$ 51,7 Bilhões","R$ 3,74 Mil","0,375","-0,282",1
2021,41,"Paraná",1.338,"3,26 Milhões","R$ 10,2 Bilhões","R$ 3,14 Mil","0,575","0,056",5
2021,42,"Santa Catarina",1.608,"2,5 Milhões","R$ 7,75 Bilhões","R$ 3,1 Mil","0,579","-0,001",2
2021,43,"Rio Grande do Sul",1.514,"2,96 Milhões","R$ 9,68 Bilhões","R$ 3,27 Mil","0,626","0,021",3
2021,50,"Mato Grosso do Sul",-0.438,"700 Mil","R$ 2,19 Bilhões","R$ 3,13 Mil","0,805","0,235",15
2021,51,"Mato Grosso",-0.687,"919 Mil","R$ 2,98 Bilhões","R$ 3,24 Mil","0,831","0,238",20
2021,52,"Goiás",-0.203,"1,58 Milhão","R$ 4,63 Bilhões","R$ 2,92 Mil","0,732","0,263",12
2021,53,"Distrito Federal",0.632,"1,08 Milhão","R$ 6,25 Bilhões","R$ 5,76 Mil","0,926","0,09",7
