"Ano","ID.IBGE","Localidade","ICE","ICE_normalizado","ICE_normalizado_ano"
2009,"14","Roraima",0.232,0.73785891527827,0.742780986228343
2009,"15","Pará",-2.354,0.279510811768876,0.168369613505109
2009,"16","Amapá",-0.806,0.553881602268699,0.51221679253665
2009,"17","Tocantins",-0.429,0.620701878766395,0.595957352287872
2009,"21","Maranhão",-3.112,0.145161290322581,0
2009,"22","Piauí",-0.208,0.659872385678837,0.64504664593514
2009,"23","Ceará",0.141,0.721729883020206,0.722567747667703
2009,"24","Rio Grande do Norte",-0.279,0.647288195675292,0.629275877387828
2009,"25","Paraíba",0.066,0.708436724565757,0.705908485117726
2009,"26","Pernambuco",0.631,0.808578518255938,0.831408262994225
2009,"27","Alagoas",-1.015,0.516838000708968,0.465792980897379
2009,"28","Sergipe",0.099,0.714285714285714,0.713238560639716
